,dateday,season,year,month,hour,holiday,weekday,workingday,weather_situation,temp,atemp,humidity,windspeed,casual,registered,count_total
28,2011-01-29,Spring,0,Jan,4,0,Sun,0,Misty/Cloudy,0.46,0.4545,0.94,0.194,2,1,3
29,2011-01-30,Spring,0,Jan,6,0,Sun,0,Light Snow/Rain,0.42,0.4242,0.77,0.2985,0,2,2
30,2011-01-31,Spring,0,Jan,7,0,Sun,0,Misty/Cloudy,0.4,0.4091,0.76,0.194,0,1,1
31,2011-02-01,Spring,0,Jan,8,0,Sun,0,Light Snow/Rain,0.4,0.4091,0.71,0.2239,0,8,8
32,2011-02-02,Spring,0,Jan,9,0,Sun,0,Misty/Cloudy,0.38,0.3939,0.76,0.2239,1,19,20
33,2011-02-03,Spring,0,Jan,10,0,Sun,0,Misty/Cloudy,0.36,0.3485,0.81,0.2239,7,46,53
34,2011-02-04,Spring,0,Jan,11,0,Sun,0,Misty/Cloudy,0.36,0.3333,0.71,0.2537,16,54,70
35,2011-02-05,Spring,0,Jan,12,0,Sun,0,Misty/Cloudy,0.36,0.3333,0.66,0.2985,20,73,93
36,2011-02-06,Spring,0,Jan,13,0,Sun,0,Misty/Cloudy,0.36,0.3485,0.66,0.1343,11,64,75
37,2011-02-07,Spring,0,Jan,14,0,Sun,0,Light Snow/Rain,0.36,0.3485,0.76,0.194,4,55,59
38,2011-02-08,Spring,0,Jan,15,0,Sun,0,Light Snow/Rain,0.34,0.3333,0.81,0.1642,19,55,74
39,2011-02-09,Spring,0,Jan,16,0,Sun,0,Light Snow/Rain,0.34,0.3333,0.71,0.1642,9,67,76
40,2011-02-10,Spring,0,Jan,17,0,Sun,0,Clear/Partly Cloudy,0.34,0.3333,0.57,0.194,7,58,65
41,2011-02-11,Spring,0,Jan,18,0,Sun,0,Misty/Cloudy,0.36,0.3333,0.46,0.3284,10,43,53
42,2011-02-12,Spring,0,Jan,19,0,Sun,0,Clear/Partly Cloudy,0.32,0.2879,0.42,0.4478,1,29,30
43,2011-02-13,Spring,0,Jan,20,0,Sun,0,Clear/Partly Cloudy,0.3,0.2727,0.39,0.3582,5,17,22
44,2011-02-14,Spring,0,Jan,21,0,Sun,0,Clear/Partly Cloudy,0.26,0.2273,0.44,0.3284,11,20,31
45,2011-02-15,Spring,0,Jan,22,0,Sun,0,Clear/Partly Cloudy,0.24,0.2121,0.44,0.2985,0,9,9
46,2011-02-16,Spring,0,Jan,23,0,Sun,0,Clear/Partly Cloudy,0.22,0.2273,0.47,0.1642,0,8,8
47,2011-02-17,Spring,0,Jan,0,0,Mon,1,Clear/Partly Cloudy,0.22,0.197,0.44,0.3582,0,5,5
48,2011-02-18,Spring,0,Jan,1,0,Mon,1,Clear/Partly Cloudy,0.2,0.1667,0.44,0.4179,0,2,2
49,2011-02-19,Spring,0,Jan,4,0,Mon,1,Clear/Partly Cloudy,0.16,0.1364,0.47,0.3881,0,1,1
50,2011-02-20,Spring,0,Jan,5,0,Mon,1,Clear/Partly Cloudy,0.16,0.1364,0.47,0.2836,0,3,3
51,2011-02-21,Spring,0,Jan,6,0,Mon,1,Clear/Partly Cloudy,0.14,0.1061,0.5,0.3881,0,30,30
52,2011-02-22,Spring,0,Jan,7,0,Mon,1,Clear/Partly Cloudy,0.14,0.1364,0.5,0.194,1,63,64
53,2011-02-23,Spring,0,Jan,8,0,Mon,1,Clear/Partly Cloudy,0.14,0.1212,0.5,0.2836,1,153,154
54,2011-02-24,Spring,0,Jan,9,0,Mon,1,Clear/Partly Cloudy,0.16,0.1364,0.43,0.3881,7,81,88
55,2011-02-25,Spring,0,Jan,10,0,Mon,1,Clear/Partly Cloudy,0.18,0.1667,0.43,0.2537,11,33,44
56,2011-02-26,Spring,0,Jan,11,0,Mon,1,Clear/Partly Cloudy,0.2,0.1818,0.4,0.3284,10,41,51
57,2011-02-27,Spring,0,Jan,12,0,Mon,1,Clear/Partly Cloudy,0.22,0.2121,0.35,0.2985,13,48,61
58,2011-02-28,Spring,0,Jan,13,0,Mon,1,Clear/Partly Cloudy,0.24,0.2121,0.35,0.2836,8,53,61
59,2011-03-01,Spring,0,Jan,14,0,Mon,1,Clear/Partly Cloudy,0.26,0.2424,0.3,0.2836,11,66,77
60,2011-03-02,Spring,0,Jan,15,0,Mon,1,Clear/Partly Cloudy,0.26,0.2424,0.3,0.2537,14,58,72
61,2011-03-03,Spring,0,Jan,16,0,Mon,1,Clear/Partly Cloudy,0.26,0.2424,0.3,0.2537,9,67,76
62,2011-03-04,Spring,0,Jan,17,0,Mon,1,Clear/Partly Cloudy,0.24,0.2273,0.3,0.2239,11,146,157
63,2011-03-05,Spring,0,Jan,18,0,Mon,1,Clear/Partly Cloudy,0.24,0.2576,0.32,0.1045,9,148,157
64,2011-03-06,Spring,0,Jan,19,0,Mon,1,Clear/Partly Cloudy,0.2,0.2576,0.47,0.0,8,102,110
65,2011-03-07,Spring,0,Jan,20,0,Mon,1,Clear/Partly Cloudy,0.2,0.2273,0.47,0.1045,3,49,52
66,2011-03-08,Spring,0,Jan,21,0,Mon,1,Clear/Partly Cloudy,0.18,0.197,0.64,0.1343,3,49,52
67,2011-03-09,Spring,0,Jan,22,0,Mon,1,Clear/Partly Cloudy,0.14,0.1515,0.69,0.1343,0,20,20
68,2011-03-10,Spring,0,Jan,23,0,Mon,1,Clear/Partly Cloudy,0.18,0.2121,0.55,0.1045,1,11,12
69,2011-03-11,Spring,0,Jan,0,0,Tue,1,Clear/Partly Cloudy,0.16,0.1818,0.55,0.1045,0,5,5
70,2011-03-12,Spring,0,Jan,1,0,Tue,1,Clear/Partly Cloudy,0.16,0.1818,0.59,0.1045,0,2,2
71,2011-03-13,Spring,0,Jan,2,0,Tue,1,Clear/Partly Cloudy,0.14,0.1515,0.63,0.1343,0,1,1
72,2011-03-14,Spring,0,Jan,4,0,Tue,1,Clear/Partly Cloudy,0.14,0.1818,0.63,0.0896,0,2,2
73,2011-03-15,Spring,0,Jan,5,0,Tue,1,Clear/Partly Cloudy,0.12,0.1515,0.68,0.1045,0,4,4
74,2011-03-16,Spring,0,Jan,6,0,Tue,1,Clear/Partly Cloudy,0.12,0.1515,0.74,0.1045,0,36,36
75,2011-03-17,Spring,0,Jan,7,0,Tue,1,Clear/Partly Cloudy,0.12,0.1515,0.74,0.1343,2,92,94
76,2011-03-18,Spring,0,Jan,8,0,Tue,1,Clear/Partly Cloudy,0.14,0.1515,0.69,0.1642,2,177,179
77,2011-03-19,Spring,0,Jan,9,0,Tue,1,Clear/Partly Cloudy,0.16,0.1515,0.64,0.2239,2,98,100
78,2011-03-20,Spring,0,Jan,10,0,Tue,1,Misty/Cloudy,0.16,0.1364,0.69,0.3284,5,37,42
79,2011-03-21,Spring,0,Jan,11,0,Tue,1,Clear/Partly Cloudy,0.22,0.2121,0.51,0.2985,7,50,57
80,2011-03-22,Spring,0,Jan,12,0,Tue,1,Clear/Partly Cloudy,0.22,0.2273,0.51,0.1642,12,66,78
81,2011-03-23,Spring,0,Jan,13,0,Tue,1,Clear/Partly Cloudy,0.24,0.2273,0.56,0.194,18,79,97
82,2011-03-24,Spring,0,Jan,14,0,Tue,1,Clear/Partly Cloudy,0.26,0.2576,0.52,0.2239,9,54,63
83,2011-03-25,Spring,0,Jan,15,0,Tue,1,Clear/Partly Cloudy,0.28,0.2727,0.52,0.2537,17,48,65
84,2011-03-26,Spring,0,Jan,16,0,Tue,1,Clear/Partly Cloudy,0.3,0.2879,0.49,0.2537,15,68,83
85,2011-03-27,Spring,0,Jan,17,0,Tue,1,Clear/Partly Cloudy,0.28,0.2727,0.48,0.2239,10,202,212
86,2011-03-28,Spring,0,Jan,18,0,Tue,1,Clear/Partly Cloudy,0.26,0.2576,0.48,0.194,3,179,182
87,2011-03-29,Spring,0,Jan,19,0,Tue,1,Clear/Partly Cloudy,0.24,0.2576,0.48,0.1045,2,110,112
88,2011-03-30,Spring,0,Jan,20,0,Tue,1,Clear/Partly Cloudy,0.24,0.2576,0.48,0.1045,1,53,54
89,2011-03-31,Spring,0,Jan,21,0,Tue,1,Clear/Partly Cloudy,0.22,0.2727,0.64,0.0,0,48,48
90,2011-04-01,Spring,0,Jan,22,0,Tue,1,Clear/Partly Cloudy,0.22,0.2576,0.64,0.0896,1,34,35
91,2011-04-02,Spring,0,Jan,23,0,Tue,1,Clear/Partly Cloudy,0.2,0.2273,0.69,0.0896,2,9,11
92,2011-04-03,Spring,0,Jan,0,0,Wed,1,Clear/Partly Cloudy,0.2,0.2576,0.64,0.0,0,6,6
93,2011-04-04,Spring,0,Jan,1,0,Wed,1,Clear/Partly Cloudy,0.16,0.197,0.74,0.0896,0,6,6
94,2011-04-05,Spring,0,Jan,2,0,Wed,1,Clear/Partly Cloudy,0.16,0.197,0.74,0.0896,0,2,2
95,2011-04-06,Spring,0,Jan,4,0,Wed,1,Clear/Partly Cloudy,0.24,0.2273,0.48,0.2239,0,2,2
96,2011-04-07,Spring,0,Jan,5,0,Wed,1,Clear/Partly Cloudy,0.22,0.2273,0.47,0.1642,0,3,3
97,2011-04-08,Spring,0,Jan,6,0,Wed,1,Clear/Partly Cloudy,0.2,0.197,0.47,0.2239,0,33,33
98,2011-04-09,Spring,0,Jan,7,0,Wed,1,Clear/Partly Cloudy,0.18,0.1818,0.43,0.194,1,87,88
99,2011-04-10,Spring,0,Jan,8,0,Wed,1,Clear/Partly Cloudy,0.2,0.1818,0.4,0.2985,3,192,195
100,2011-04-11,Spring,0,Jan,9,0,Wed,1,Clear/Partly Cloudy,0.22,0.197,0.37,0.3284,6,109,115
101,2011-04-12,Spring,0,Jan,10,0,Wed,1,Clear/Partly Cloudy,0.22,0.197,0.37,0.3284,4,53,57
102,2011-04-13,Spring,0,Jan,11,0,Wed,1,Clear/Partly Cloudy,0.26,0.2273,0.33,0.3284,12,34,46
103,2011-04-14,Spring,0,Jan,12,0,Wed,1,Clear/Partly Cloudy,0.26,0.2273,0.33,0.3284,5,74,79
104,2011-04-15,Spring,0,Jan,13,0,Wed,1,Clear/Partly Cloudy,0.28,0.2576,0.3,0.2985,6,65,71
105,2011-04-16,Spring,0,Jan,14,0,Wed,1,Clear/Partly Cloudy,0.3,0.2879,0.28,0.194,10,52,62
106,2011-04-17,Spring,0,Jan,15,0,Wed,1,Clear/Partly Cloudy,0.3,0.2879,0.28,0.194,7,55,62
107,2011-04-18,Spring,0,Jan,16,0,Wed,1,Clear/Partly Cloudy,0.3,0.3182,0.28,0.0896,4,85,89
108,2011-04-19,Spring,0,Jan,17,0,Wed,1,Clear/Partly Cloudy,0.24,0.2273,0.38,0.194,4,186,190
109,2011-04-20,Spring,0,Jan,18,0,Wed,1,Clear/Partly Cloudy,0.24,0.2424,0.38,0.1343,3,166,169
110,2011-04-21,Spring,0,Jan,19,0,Wed,1,Clear/Partly Cloudy,0.24,0.2576,0.38,0.1045,5,127,132
111,2011-04-22,Spring,0,Jan,20,0,Wed,1,Clear/Partly Cloudy,0.22,0.2273,0.47,0.1642,7,82,89
112,2011-04-23,Spring,0,Jan,21,0,Wed,1,Clear/Partly Cloudy,0.2,0.197,0.51,0.194,3,40,43
113,2011-04-24,Spring,0,Jan,22,0,Wed,1,Clear/Partly Cloudy,0.18,0.197,0.55,0.1343,1,41,42
114,2011-04-25,Spring,0,Jan,23,0,Wed,1,Clear/Partly Cloudy,0.2,0.2576,0.47,0.0,1,18,19
115,2011-04-26,Spring,0,Jan,0,0,Thu,1,Clear/Partly Cloudy,0.18,0.2424,0.55,0.0,0,11,11
116,2011-04-27,Spring,0,Jan,1,0,Thu,1,Clear/Partly Cloudy,0.16,0.2273,0.64,0.0,0,4,4
117,2011-04-28,Spring,0,Jan,2,0,Thu,1,Clear/Partly Cloudy,0.16,0.2273,0.64,0.0,0,2,2
118,2011-04-29,Spring,0,Jan,4,0,Thu,1,Misty/Cloudy,0.16,0.197,0.64,0.0896,0,1,1
119,2011-04-30,Spring,0,Jan,5,0,Thu,1,Misty/Cloudy,0.14,0.1818,0.69,0.0896,0,4,4
120,2011-05-01,Spring,0,Jan,6,0,Thu,1,Misty/Cloudy,0.14,0.1667,0.63,0.1045,0,36,36
121,2011-05-02,Spring,0,Jan,7,0,Thu,1,Misty/Cloudy,0.16,0.2273,0.59,0.0,0,95,95
122,2011-05-03,Spring,0,Jan,8,0,Thu,1,Clear/Partly Cloudy,0.16,0.2273,0.59,0.0,3,216,219
123,2011-05-04,Spring,0,Jan,9,0,Thu,1,Misty/Cloudy,0.18,0.2424,0.51,0.0,6,116,122
124,2011-05-05,Spring,0,Jan,10,0,Thu,1,Clear/Partly Cloudy,0.2,0.2576,0.47,0.0,3,42,45
125,2011-05-06,Spring,0,Jan,11,0,Thu,1,Clear/Partly Cloudy,0.22,0.2576,0.44,0.0896,2,57,59
126,2011-05-07,Spring,0,Jan,12,0,Thu,1,Clear/Partly Cloudy,0.26,0.2879,0.35,0.0,6,78,84
127,2011-05-08,Spring,0,Jan,13,0,Thu,1,Clear/Partly Cloudy,0.26,0.2727,0.35,0.1045,12,55,67
128,2011-05-09,Spring,0,Jan,14,0,Thu,1,Clear/Partly Cloudy,0.28,0.2727,0.36,0.1642,11,59,70
129,2011-05-10,Spring,0,Jan,15,0,Thu,1,Clear/Partly Cloudy,0.28,0.2727,0.36,0.0,8,54,62
130,2011-05-11,Spring,0,Jan,16,0,Thu,1,Clear/Partly Cloudy,0.26,0.2576,0.38,0.1642,12,74,86
131,2011-05-12,Spring,0,Jan,17,0,Thu,1,Clear/Partly Cloudy,0.22,0.2273,0.51,0.1642,9,163,172
132,2011-05-13,Spring,0,Jan,18,0,Thu,1,Clear/Partly Cloudy,0.22,0.2273,0.51,0.1343,5,158,163
133,2011-05-14,Spring,0,Jan,19,0,Thu,1,Clear/Partly Cloudy,0.22,0.2576,0.55,0.0896,3,109,112
134,2011-05-15,Spring,0,Jan,20,0,Thu,1,Clear/Partly Cloudy,0.2,0.2121,0.51,0.1642,3,66,69
135,2011-05-16,Spring,0,Jan,21,0,Thu,1,Misty/Cloudy,0.22,0.2121,0.55,0.2239,0,48,48
136,2011-05-17,Spring,0,Jan,22,0,Thu,1,Misty/Cloudy,0.22,0.2121,0.51,0.2836,1,51,52
137,2011-05-18,Spring,0,Jan,23,0,Thu,1,Misty/Cloudy,0.2,0.197,0.59,0.194,4,19,23
138,2011-05-19,Spring,0,Jan,0,0,Fri,1,Misty/Cloudy,0.2,0.197,0.64,0.194,4,13,17
139,2011-05-20,Spring,0,Jan,1,0,Fri,1,Misty/Cloudy,0.2,0.197,0.69,0.2239,2,5,7
140,2011-05-21,Spring,0,Jan,2,0,Fri,1,Misty/Cloudy,0.2,0.197,0.69,0.2239,0,1,1
141,2011-05-22,Spring,0,Jan,4,0,Fri,1,Misty/Cloudy,0.2,0.2121,0.69,0.1343,0,1,1
142,2011-05-23,Spring,0,Jan,5,0,Fri,1,Light Snow/Rain,0.22,0.2727,0.55,0.0,0,5,5
143,2011-05-24,Spring,0,Jan,6,0,Fri,1,Misty/Cloudy,0.2,0.2576,0.69,0.0,8,26,34
144,2011-05-25,Spring,0,Jan,7,0,Fri,1,Clear/Partly Cloudy,0.2,0.2121,0.69,0.1343,8,76,84
145,2011-05-26,Spring,0,Jan,8,0,Fri,1,Clear/Partly Cloudy,0.2,0.197,0.51,0.2537,20,190,210
146,2011-05-27,Spring,0,Jan,9,0,Fri,1,Clear/Partly Cloudy,0.2,0.1818,0.47,0.2985,9,125,134
147,2011-05-28,Spring,0,Jan,10,0,Fri,1,Clear/Partly Cloudy,0.22,0.197,0.37,0.3284,16,47,63
148,2011-05-29,Spring,0,Jan,11,0,Fri,1,Misty/Cloudy,0.2,0.197,0.4,0.2239,19,48,67
149,2011-05-30,Spring,0,Jan,12,0,Fri,1,Misty/Cloudy,0.2,0.197,0.37,0.2537,9,50,59
150,2011-05-31,Spring,0,Jan,13,0,Fri,1,Misty/Cloudy,0.2,0.1818,0.37,0.2836,9,64,73
151,2011-06-01,Spring,0,Jan,14,0,Fri,1,Misty/Cloudy,0.2,0.197,0.4,0.2537,7,43,50
152,2011-06-02,Spring,0,Jan,15,0,Fri,1,Misty/Cloudy,0.2,0.2121,0.37,0.1642,9,63,72
153,2011-06-03,Spring,0,Jan,16,0,Fri,1,Misty/Cloudy,0.2,0.2121,0.37,0.1642,5,82,87
154,2011-06-04,Spring,0,Jan,17,0,Fri,1,Misty/Cloudy,0.2,0.2576,0.37,0.0,9,178,187
155,2011-06-05,Spring,0,Jan,18,0,Fri,1,Clear/Partly Cloudy,0.2,0.2273,0.4,0.0896,7,116,123
156,2011-06-06,Spring,0,Jan,19,0,Fri,1,Clear/Partly Cloudy,0.16,0.197,0.55,0.0896,3,92,95
157,2011-06-07,Spring,0,Jan,20,0,Fri,1,Clear/Partly Cloudy,0.18,0.2121,0.47,0.1045,1,50,51
158,2011-06-08,Spring,0,Jan,21,0,Fri,1,Clear/Partly Cloudy,0.18,0.197,0.47,0.1343,0,39,39
159,2011-06-09,Spring,0,Jan,22,0,Fri,1,Misty/Cloudy,0.18,0.197,0.43,0.1642,2,34,36
160,2011-06-10,Spring,0,Jan,23,0,Fri,1,Misty/Cloudy,0.18,0.197,0.51,0.1642,1,14,15
161,2011-06-11,Spring,0,Jan,0,0,Sat,0,Misty/Cloudy,0.18,0.197,0.51,0.1642,1,24,25
162,2011-06-12,Spring,0,Jan,1,0,Sat,0,Misty/Cloudy,0.18,0.2121,0.55,0.0896,1,15,16
163,2011-06-13,Spring,0,Jan,2,0,Sat,0,Misty/Cloudy,0.18,0.2424,0.55,0.0,3,13,16
164,2011-06-14,Spring,0,Jan,3,0,Sat,0,Light Snow/Rain,0.18,0.197,0.55,0.1642,0,7,7
165,2011-06-15,Spring,0,Jan,4,0,Sat,0,Light Snow/Rain,0.18,0.197,0.55,0.1642,0,1,1
166,2011-06-16,Spring,0,Jan,5,0,Sat,0,Misty/Cloudy,0.16,0.1667,0.74,0.1642,0,5,5
167,2011-06-17,Spring,0,Jan,6,0,Sat,0,Misty/Cloudy,0.16,0.1667,0.74,0.1642,0,2,2
168,2011-06-18,Spring,0,Jan,7,0,Sat,0,Misty/Cloudy,0.16,0.1818,0.74,0.1045,1,8,9
169,2011-06-19,Spring,0,Jan,8,0,Sat,0,Light Snow/Rain,0.16,0.1818,0.93,0.1045,0,15,15
170,2011-06-20,Spring,0,Jan,9,0,Sat,0,Light Snow/Rain,0.16,0.1818,0.93,0.1045,0,20,20
171,2011-06-21,Spring,0,Jan,10,0,Sat,0,Misty/Cloudy,0.18,0.197,0.8,0.1642,5,56,61
172,2011-06-22,Spring,0,Jan,11,0,Sat,0,Misty/Cloudy,0.2,0.1818,0.69,0.3881,2,60,62
173,2011-06-23,Spring,0,Jan,12,0,Sat,0,Misty/Cloudy,0.2,0.1818,0.59,0.3582,8,90,98
174,2011-06-24,Spring,0,Jan,13,0,Sat,0,Clear/Partly Cloudy,0.2,0.1818,0.44,0.3284,7,95,102
175,2011-06-25,Spring,0,Jan,14,0,Sat,0,Clear/Partly Cloudy,0.2,0.1667,0.32,0.4925,12,83,95
176,2011-06-26,Spring,0,Jan,15,0,Sat,0,Clear/Partly Cloudy,0.2,0.1667,0.32,0.4478,5,69,74
177,2011-06-27,Spring,0,Jan,16,0,Sat,0,Clear/Partly Cloudy,0.18,0.1364,0.29,0.4478,8,68,76
178,2011-06-28,Spring,0,Jan,17,0,Sat,0,Clear/Partly Cloudy,0.16,0.1212,0.37,0.5522,5,64,69
179,2011-06-29,Spring,0,Jan,18,0,Sat,0,Clear/Partly Cloudy,0.14,0.1212,0.39,0.2985,3,52,55
180,2011-06-30,Spring,0,Jan,19,0,Sat,0,Clear/Partly Cloudy,0.14,0.1212,0.36,0.2537,4,26,30
181,2011-07-01,Spring,0,Jan,20,0,Sat,0,Clear/Partly Cloudy,0.12,0.1212,0.36,0.2537,0,28,28
182,2011-07-02,Spring,0,Jan,21,0,Sat,0,Clear/Partly Cloudy,0.12,0.1061,0.39,0.3582,2,35,37
183,2011-07-03,Spring,0,Jan,22,0,Sat,0,Clear/Partly Cloudy,0.12,0.1061,0.36,0.3881,1,33,34
184,2011-07-04,Spring,0,Jan,23,0,Sat,0,Clear/Partly Cloudy,0.1,0.0606,0.39,0.4478,0,22,22
185,2011-07-05,Spring,0,Jan,0,0,Sun,0,Clear/Partly Cloudy,0.1,0.0758,0.42,0.3881,1,24,25
186,2011-07-06,Spring,0,Jan,1,0,Sun,0,Clear/Partly Cloudy,0.1,0.0606,0.42,0.4627,0,12,12
187,2011-07-07,Spring,0,Jan,2,0,Sun,0,Clear/Partly Cloudy,0.1,0.0606,0.46,0.4627,0,11,11
188,2011-07-08,Spring,0,Jan,3,0,Sun,0,Clear/Partly Cloudy,0.1,0.0758,0.46,0.4179,0,4,4
189,2011-07-09,Spring,0,Jan,4,0,Sun,0,Clear/Partly Cloudy,0.08,0.0909,0.53,0.194,0,1,1
190,2011-07-10,Spring,0,Jan,5,0,Sun,0,Clear/Partly Cloudy,0.08,0.0909,0.53,0.194,0,1,1
191,2011-07-11,Spring,0,Jan,6,0,Sun,0,Clear/Partly Cloudy,0.1,0.0909,0.49,0.2836,0,1,1
192,2011-07-12,Spring,0,Jan,7,0,Sun,0,Clear/Partly Cloudy,0.08,0.0909,0.53,0.194,1,5,6
193,2011-07-13,Spring,0,Jan,8,0,Sun,0,Clear/Partly Cloudy,0.1,0.0909,0.49,0.2836,0,10,10
194,2011-07-14,Spring,0,Jan,9,0,Sun,0,Clear/Partly Cloudy,0.12,0.0758,0.46,0.5224,0,19,19
195,2011-07-15,Spring,0,Jan,10,0,Sun,0,Clear/Partly Cloudy,0.14,0.1061,0.43,0.3881,0,49,49
196,2011-07-16,Spring,0,Jan,11,0,Sun,0,Clear/Partly Cloudy,0.16,0.1212,0.4,0.5224,2,47,49
197,2011-07-17,Spring,0,Jan,12,0,Sun,0,Clear/Partly Cloudy,0.18,0.1364,0.37,0.4478,4,79,83
198,2011-07-18,Spring,0,Jan,13,0,Sun,0,Clear/Partly Cloudy,0.2,0.1667,0.34,0.4478,6,69,75
199,2011-07-19,Spring,0,Jan,14,0,Sun,0,Clear/Partly Cloudy,0.22,0.1818,0.32,0.4627,8,64,72
200,2011-07-20,Spring,0,Jan,15,0,Sun,0,Clear/Partly Cloudy,0.22,0.197,0.35,0.3582,5,77,82
201,2011-07-21,Spring,0,Jan,16,0,Sun,0,Clear/Partly Cloudy,0.2,0.1667,0.34,0.4478,13,79,92
202,2011-07-22,Spring,0,Jan,17,0,Sun,0,Clear/Partly Cloudy,0.18,0.1515,0.37,0.3881,3,59,62
203,2011-07-23,Spring,0,Jan,18,0,Sun,0,Clear/Partly Cloudy,0.16,0.1364,0.4,0.3284,4,44,48
204,2011-07-24,Spring,0,Jan,19,0,Sun,0,Clear/Partly Cloudy,0.16,0.1364,0.43,0.3284,1,40,41
205,2011-07-25,Spring,0,Jan,20,0,Sun,0,Clear/Partly Cloudy,0.14,0.1212,0.46,0.2537,0,38,38
206,2011-07-26,Spring,0,Jan,21,0,Sun,0,Clear/Partly Cloudy,0.14,0.1061,0.46,0.4179,1,19,20
207,2011-07-27,Spring,0,Jan,22,0,Sun,0,Clear/Partly Cloudy,0.14,0.1212,0.46,0.2985,5,10,15
208,2011-07-28,Spring,0,Jan,23,0,Sun,0,Clear/Partly Cloudy,0.12,0.1364,0.5,0.194,0,6,6
209,2011-07-29,Spring,0,Jan,0,0,Mon,1,Clear/Partly Cloudy,0.12,0.1212,0.5,0.2836,2,3,5
210,2011-07-30,Spring,0,Jan,1,0,Mon,1,Clear/Partly Cloudy,0.12,0.1212,0.5,0.2836,1,0,1
211,2011-07-31,Spring,0,Jan,2,0,Mon,1,Clear/Partly Cloudy,0.12,0.1212,0.5,0.2239,0,3,3
212,2011-08-01,Spring,0,Jan,3,0,Mon,1,Clear/Partly Cloudy,0.12,0.1212,0.5,0.2239,0,1,1
213,2011-08-02,Spring,0,Jan,4,0,Mon,1,Clear/Partly Cloudy,0.1,0.1212,0.54,0.1343,1,2,3
